layout,robots,scenario_seed,checkpoint,success,collision_events,collision_episode,min_separation,path_length,final_error,control_time_ms
random,5,10,checkpoints_seed2,1,2,1,0.036728743060901556,59.02590852818725,0.41408127537995576,0.7577888978024324
random,5,10,checkpoints_seed3,1,2,1,0.0891670422418384,61.097981344088225,0.44468873296881206,0.7664468217020234
random,5,11,checkpoints_seed1,1,2,1,0.2644787669855518,49.33045566119862,0.5463854807599346,0.7689515400367478
random,5,11,checkpoints_seed2,1,2,1,0.34020374475920157,61.97689640874177,0.3372177152484953,0.8017641841433942
random,5,11,checkpoints_seed3,0,2,1,0.09306281171640048,76.17054687297495,0.9495834244993707,0.7726593525148928
random,5,12,checkpoints_seed1,1,2,1,0.08451503037253869,74.42910389186666,0.3732711435714516,0.7633311033714563
random,5,12,checkpoints_seed2,1,2,1,0.19360053604731514,80.77374516705557,0.5636611780457926,0.7646362433054795
random,5,12,checkpoints_seed3,1,1,1,0.13279277388686694,87.5935645413111,0.37754947620814655,0.8246032637543976
random,5,13,checkpoints_seed1,0,0,0,1.274819976664517,32.42947773292437,0.6918913956301177,0.7615466097680231
random,5,13,checkpoints_seed2,1,0,0,0.7273114127084062,33.96249455260072,0.45838368032645904,0.7626433429929117
random,5,13,checkpoints_seed3,1,0,0,1.877108716032603,37.11979615371027,0.5690788860158604,0.7792809725894282
random,5,14,checkpoints_seed1,0,4,1,0.11692688460526095,41.99712593484033,0.7951971802888039,0.7894170354120433
random,5,14,checkpoints_seed2,1,4,1,0.04309277373051453,67.55527658694531,0.3191731896521926,0.7813656023548295
random,5,14,checkpoints_seed3,1,4,1,0.030640477603637334,76.94629294562202,0.4926579787199457,0.7633119161861638
random,5,15,checkpoints_seed1,1,1,1,0.19941007583764017,59.95260599650747,0.4138496032767667,0.7505294672834376
random,5,15,checkpoints_seed2,1,3,1,0.3102310658517314,63.51172396004562,0.3925679821343902,0.7457148497148106
random,5,15,checkpoints_seed3,1,1,1,0.1490647860090284,58.308208188059055,0.6282936653491816,0.7502108812332153
random,5,16,checkpoints_seed1,1,6,1,0.07346284871458683,47.71545546120517,0.48181575353541506,0.7488940202165395
random,5,16,checkpoints_seed2,1,6,1,0.01109104862134915,52.70444113315231,0.527033383230467,0.7566047735357037
random,5,16,checkpoints_seed3,0,4,1,0.24030230308247086,55.02208709723783,0.6710381847773029,0.7612311223056167
random,5,17,checkpoints_seed1,1,1,1,0.6504950863214919,38.86525171934175,0.4992013724252269,0.7725740026216954
random,5,17,checkpoints_seed2,1,2,1,0.02044639951798713,42.03117987876528,0.3837556724379042,0.7631712806566308
random,5,17,checkpoints_seed3,1,1,1,0.08842301384359967,65.25539231893202,0.5968229891604031,0.765795864087219
random,5,18,checkpoints_seed1,0,3,1,0.11389676228523184,52.033292243849395,0.7009542017078276,0.7603663136251271
random,5,18,checkpoints_seed2,1,3,1,0.09210083180503413,71.5063754428167,0.4739975430299513,0.7616891292855144
random,5,18,checkpoints_seed3,0,4,1,0.5107285931055923,67.1918355416713,0.7034349262028241,0.7635186096498122
random,5,19,checkpoints_seed1,1,2,1,0.049259839718397876,36.33411533738822,0.5091971028047737,0.7647023885510862
random,5,19,checkpoints_seed2,1,2,1,0.14579753397131598,64.82019772189682,0.34009266036511576,0.7655277537802855
random,5,19,checkpoints_seed3,1,2,1,0.08958503361848441,81.75269589391898,0.4496437684216305,0.7701642326234529
random,10,10,checkpoints_seed1,1,6,1,0.04882380666825127,123.02022570140188,0.4352589605256981,0.9880269974625359
random,10,10,checkpoints_seed2,1,7,1,0.04195765487257315,138.131363909888,0.5322929467719936,0.992530855971078
random,10,10,checkpoints_seed3,1,5,1,0.05145899216679289,134.54160689032182,0.2881698399813316,1.004455688719948
random,10,11,checkpoints_seed1,1,9,1,0.0878205655354013,79.35198231583526,0.5563802317804459,0.9966917083753893
random,10,11,checkpoints_seed2,1,8,1,0.164741296769241,101.11942852122647,0.4778839261356732,0.9993911817825089
random,10,11,checkpoints_seed3,1,9,1,0.1207228380217506,119.78188528964617,0.509145008306883,0.9993713019260516
random,10,12,checkpoints_seed1,1,13,1,0.06533973509542171,114.58382135130236,0.3648964257445293,0.9920014631158361
random,10,12,checkpoints_seed2,1,9,1,0.06788249370992493,128.96744151155454,0.4720348290581291,0.9915267990436405
random,10,12,checkpoints_seed3,1,10,1,0.012641047052658876,111.11456295072682,0.6325353066020017,0.9902152911915133
random,10,13,checkpoints_seed1,1,5,1,0.12855661332238133,71.3941458484524,0.6084085051032119,0.9920440264977515
random,10,13,checkpoints_seed2,1,6,1,0.06541145103656858,106.5279844120911,0.45353978935752093,0.9942395670805126
random,10,13,checkpoints_seed3,0,4,1,0.1621024073241499,104.80551293793424,1.3151377712496561,0.9817405448605617
random,10,14,checkpoints_seed1,0,5,1,0.13492340771756806,85.3326018372838,0.6664791534404514,0.9826193272601813
random,10,14,checkpoints_seed2,1,7,1,0.1592650400100933,83.20722593226228,0.3983324604441079,0.9822073023921499
random,10,14,checkpoints_seed3,1,8,1,0.28649710304791176,119.46385234684253,0.3790649839721218,0.9793562348932028
