layout,method,robots,seed,success,strict_success,physical_collision_events,physical_collision_episode,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
open,transformer,20,10,0,0,17,1,201,21,1,0.04829664505563364,386.2734143268162,240,0.989164401665143,1.11711923382245
open,mlp,20,11,1,0,15,1,681,24,1,0.04207564349181419,109.80781239917722,240,0.22812477566202446,0.20292765887764594
open,gnn,20,11,0,0,12,1,238,43,1,0.08166738728955363,474.5296925577399,240,0.8979647969439888,0.5564829974900931
open,attention,20,11,0,0,15,1,152,21,1,0.03441840407015526,142.9060436182422,240,0.7387484960969749,1.0144837782718241
open,transformer,20,11,0,0,17,1,310,25,1,0.006626194180395196,392.4578525991606,240,0.8724258508269939,1.0681382399828483
open,mlp,20,12,1,0,20,1,748,25,1,0.05010707362248364,134.23909190476007,240,0.28100572370896615,0.20407775494580468
open,gnn,20,12,0,0,31,1,506,36,1,0.043071314946700086,457.3662410265684,240,1.264898977286965,0.5628042524525275
open,attention,20,12,0,0,20,1,263,29,1,0.0742392630575719,180.33435138672854,240,0.7053650112004151,1.0025833442341536
open,transformer,20,12,0,0,21,1,197,24,1,0.05198887008873043,398.96602136758105,240,0.8795123258623093,1.065929662824298
open,mlp,20,13,1,0,17,1,648,28,1,0.06124209619314515,129.63384309616873,240,0.2402938336527331,0.20812030415982008
open,gnn,20,13,0,0,24,1,425,35,1,0.013397390703797031,477.34650146010904,240,1.51512223646534,0.568722355334709
open,attention,20,13,0,0,17,1,263,25,1,0.05536969469231448,166.56603971388625,240,0.724371868554614,1.0067486145999283
open,transformer,20,13,0,0,18,1,175,21,1,0.04510044188966357,388.6385823205168,240,0.9897620585049648,1.0778019359956186
open,mlp,20,14,1,0,20,1,697,27,1,0.03446873644211347,127.58675287596087,240,0.2464927351210573,0.20340213474507132
open,gnn,20,14,0,0,29,1,564,40,1,0.04592747312769403,476.39201078402766,240,1.50678282211218,0.5512233513096968
open,attention,20,14,0,0,20,1,234,25,1,0.02748199037734632,167.67190650845842,240,0.7127356184311014,1.009049025985102
open,transformer,20,14,0,0,17,1,164,21,1,0.010812773185158662,406.7055576277041,240,0.8846420195083746,1.0823038154436897
open,mlp,20,15,1,0,22,1,756,23,1,0.010836694618181762,124.33107563292099,240,0.2603774079377289,0.20244455469461778
open,gnn,20,15,0,0,21,1,334,33,1,0.023726524121832515,472.38790838787537,240,1.1903293439435692,0.5516463075764477
open,attention,20,15,0,0,18,1,327,27,1,0.013726288654471808,157.82996026075662,240,0.728840223774602,0.9885671800778558
