layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error
random,astar,5,12,1,7,1,1,0.056748034766966104,43.45599948781837,97,0.11068324867985468
random,mlp,5,12,1,17,2,1,0.38388387381855527,41.570070163682914,240,0.3867210002048816
random,gnn,5,12,1,16,2,1,0.1478501432324536,58.79300266147932,240,0.387295899901961
random,orca,5,13,0,10,1,1,0.40266881371116225,49.25027807478198,240,2.1788284237444664
random,astar,5,13,1,9,2,1,0.050396929860978976,30.015999301500102,67,0.137626371567641
random,mlp,5,13,0,34,2,1,0.18335277002693567,17.91692034501323,240,1.257312494065621
random,gnn,5,13,1,18,2,1,0.13682793427052195,46.73828509934536,240,0.3682644711689769
random,orca,5,14,0,240,1,1,0.2348209917042945,55.38519721449005,240,2.493484566915894
random,astar,5,14,1,151,7,1,0.08612283618400939,43.9039996438683,98,0.16347634877365108
random,mlp,5,14,1,251,2,1,0.018107397484650452,24.87269001279001,240,0.5145572401140054
random,gnn,5,14,1,173,3,1,0.02617044762562939,47.49976822643068,240,0.4047414213400152
random,orca,10,10,1,15,2,1,0.3582026321329303,150.7996530310126,240,0.5899798242554262
random,astar,10,10,1,144,16,1,0.04716118878323203,116.47999475001897,104,0.09578856038781566
random,mlp,10,10,0,274,10,1,0.08967054472117468,86.72385498305984,240,0.6908920408211692
random,gnn,10,10,0,94,9,1,0.1584888890194713,115.24654148963064,240,0.6826336795912081
random,orca,10,11,1,47,3,1,0.07139930482931717,99.13797953050093,125,0.07616941259079878
random,astar,10,11,1,30,6,1,0.07320961922058085,101.91999625904322,91,0.12218069550921022
random,mlp,10,11,0,108,9,1,0.07781209549353921,62.97706220580917,240,0.7249980592894726
random,gnn,10,11,1,42,5,1,0.15728713709609438,87.24821527561147,240,0.5746323580263828
random,orca,10,12,1,219,38,1,0.16156973619133477,151.90016040078885,240,0.0951941889335092
random,astar,10,12,1,133,67,1,0.09194546260072733,134.39999530656192,120,0.0885320427119074
random,mlp,10,12,0,298,8,1,0.028976072886721285,79.49310065644966,240,0.6591796188927808
random,gnn,10,12,0,341,9,1,0.01394198090719538,127.20584103787448,240,0.6946348376631473
random,orca,10,13,1,58,6,1,0.34882666775875854,143.80108212798774,208,0.09589348131336492
random,astar,10,13,1,82,12,1,0.09910496100613184,115.35999605067101,103,0.09315384062778982
random,mlp,10,13,0,190,11,1,0.125148929445493,74.82767942182322,240,0.7805016054121319
random,gnn,10,13,1,148,15,1,0.030524756855827496,97.29672965525442,240,0.5554750685223429
random,orca,10,14,1,75,7,1,0.07080666659781717,97.06056864189571,130,0.06441259964687676
random,astar,10,14,1,103,11,1,0.022453079642182825,96.31999593185218,86,0.09444023732224789
random,mlp,10,14,1,317,7,1,0.006034584358104869,54.954559048386294,240,0.5154789291454547
random,gnn,10,14,1,196,13,1,0.04265861561367482,112.47229170191244,240,0.4230546274778305
random,orca,20,10,1,245,60,1,0.2759338003125607,329.10832525492003,240,0.07853448716995942
random,astar,20,10,1,322,37,1,0.01088192609402927,262.0799901239672,117,0.07035807371269873
