layout,method,robots,success_mean,success_std,success_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,control_time_ms_mean,control_time_ms_std,control_time_ms_ci95,episodes
random,gnn,20,1.0,0.0,0.0,28.0,4.898979485566356,3.0364189434266144,1.0,0.0,0.0,0.029297740891932277,0.01460948123583696,0.009055050283192322,255.0454471160042,10.490777374339906,6.502251182020294,0.4056636432922335,0.056842962520427344,0.035231633181162625,1.5074096569636217,0.022114704749202085,0.013706836010765777,10
random,mlp,5,0.7,0.48304589153964794,0.29939494540378153,4.8,7.177124153246278,4.448427637316858,1.0,0.0,0.0,0.10337489679912297,0.08239283394401002,0.05106760755526474,33.89233221326367,9.249583779116326,5.732951421508853,0.6254243787365257,0.24867277347108593,0.1541289818229865,0.4316352862709512,0.007433603841977968,0.004607395395349637,10
random,mlp,10,0.9,0.31622776601683794,0.19599999999999998,7.4,1.429840705968481,0.8862244511283683,1.0,0.0,0.0,0.07091425323375297,0.06703427767151908,0.04154827575424908,73.52658010217321,13.438529822860552,8.329287078290337,0.55651304913708,0.11333913116792475,0.07024832129298353,0.6726702653880541,0.024240253987037,0.01502426507736286,10
random,mlp,20,0.8,0.42163702135578396,0.26133333333333336,30.7,7.227263198011633,4.479504139224935,1.0,0.0,0.0,0.03277750156511812,0.021589009210456023,0.013381006540153315,149.2269169460499,13.94565454626509,8.643606238303619,0.614205257276114,0.11747892225497092,0.07281419039196026,1.1508553983488432,0.020099076622437734,0.012457536754656884,10
random,orca,5,0.9,0.31622776601683794,0.19599999999999998,1.4,0.9660917830792958,0.598789890807563,0.8,0.42163702135578396,0.26133333333333336,0.4129044311352395,0.2931976157838559,0.1817257649999522,47.87961736544602,21.594806549956477,13.384599768402689,0.3780132115099896,0.754234780777457,0.4674795603638112,0.30552105521975925,0.008199569393976147,0.005082145763043945,10
random,orca,10,0.9,0.31622776601683794,0.19599999999999998,4.0,1.1547005383792515,0.715690808473417,1.0,0.0,0.0,0.36790001652847576,0.09188938155677173,0.05695362874671883,134.72425303163934,27.611724483682167,17.113924140720588,0.3165662015897898,0.4542899291708421,0.2815718152742601,0.6628195947590715,0.004475252200642086,0.0027737900513111293,10
random,orca,20,1.0,0.0,0.0,13.6,3.3399933466334266,2.0701493236533017,1.0,0.0,0.0,0.27837197837505023,0.08132805722137326,0.05040765210522468,337.23278111631527,39.386297281464266,24.411879969945304,0.18229197682874226,0.1445057503485955,0.08956559199427357,1.6272222351168213,0.021812636374194463,0.013519612092236302,10
random,rvo,5,0.9,0.31622776601683794,0.19599999999999998,2.3,1.2516655570345725,0.7757903496864772,1.0,0.0,0.0,0.15949727667973623,0.19815190213402073,0.1228158213539038,27.00039829807008,6.955819841945977,4.311261804090975,0.3592580813480647,0.7704348684900083,0.4775204787551804,8.70500496465754,0.09188830417116774,0.056952960976203164,10
random,rvo,10,1.0,0.0,0.0,9.0,3.2317865716108862,2.003082069656103,1.0,0.0,0.0,0.0730129542942963,0.03332974297270055,0.02065798871785809,65.645995973371,9.1634244343257,5.679549306344609,0.046553452349789,0.010246065639632146,0.006350577277458204,26.794818761501453,0.15705120245475954,0.09734134376895241,10
random,rvo,20,1.0,0.0,0.0,27.9,5.586690532964138,3.462666666666667,1.0,0.0,0.0,0.04593122534625347,0.031313345603552825,0.019408212680380378,135.1083916114495,15.108276120651889,9.3642065557586,0.02916047235028662,0.00830571801984489,0.005147937362979434,91.07754964473999,0.3033674782504121,0.18802911106140738,10
