layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,orca,20,16,1,134,15,1,0.20167399367781896,183.15391601446944,121,0.05714611650172734,1.6635943681371113
crossing,rvo,20,16,1,130,18,1,0.058407841928032854,99.7919927204418,80,0.03868817740657855,90.94732969533652
crossing,astar,20,16,1,138,22,1,0.0966094784480468,154.55999527583415,69,0.07324104962287911,4.982885175749011
crossing,mlp,20,16,1,510,42,1,0.03560417336690514,119.83530262615129,240,0.5720128493089784,1.126805293218543
crossing,gnn,20,16,1,256,26,1,0.049920740445050384,273.70502574498056,240,0.32944501702740514,1.5126243932172656
crossing,orca,20,17,1,128,12,1,0.3626870756763601,340.2260371504875,240,0.07181977617702778,1.6621167422272265
crossing,rvo,20,17,1,175,25,1,0.1033912646645647,137.1999910873872,95,0.040667912641400766,91.28596845916228
crossing,astar,20,17,1,282,31,1,0.04677636108971229,194.87999356591845,87,0.07633448715509532,6.357393463024462
crossing,mlp,20,17,1,887,35,1,0.0255385181498409,136.67914799308588,240,0.4962081447509809,1.155125512741506
crossing,gnn,20,17,1,593,22,1,0.021904716822676765,226.7856560870858,240,0.47022691681014467,1.5131651908935357
crossing,orca,20,18,1,95,13,1,0.19232193377840986,234.8407754995412,157,0.06334721784245836,1.6923965174396327
crossing,rvo,20,18,1,146,23,1,0.035610850971834376,128.01599120789786,98,0.02969962725977615,91.08233726488389
crossing,astar,20,18,1,158,26,1,0.018187610462050238,188.15999373508288,84,0.09413707447065198,6.790994827280796
crossing,mlp,20,18,1,1075,25,1,0.013417600505853363,138.64219801801747,240,0.51621899846643,1.1333876405842602
crossing,gnn,20,18,1,565,33,1,0.014726830250250225,229.86600204721387,240,0.3822941124693649,1.473422833563139
crossing,orca,20,19,1,126,14,1,0.11489006597726813,209.36604059479114,138,0.0685633130643505,1.6570046638557012
crossing,rvo,20,19,1,136,20,1,0.0471512738486081,119.36399301585732,96,0.028830150124122718,90.72609375774239
crossing,astar,20,19,1,152,22,1,0.005068775410926128,183.6799946704017,82,0.056168082226705295,3.921693111429127
crossing,mlp,20,19,1,1024,28,1,0.010767397544030128,134.16904571334967,240,0.5063879130688413,1.1331675399560481
